id,provider_id,provider_name,state_id,county_id,source_url,source_host,clue_page_type,clue_field,current_status,decision,clue_page_url,clue_value,clue_text,review_notes,reviewed_by
prov-acc-review__prov-all-childrens-hospital-fl__accessibility_page__asl_available,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,accessibility_page,asl_available,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__accessibility_page__interpreter_available,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,accessibility_page,interpreter_available,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__accessibility_page__wheelchair_accessible,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,accessibility_page,wheelchair_accessible,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__appointment_page__referral_url,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,appointment_page,referral_url,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__appointment_page__requirements,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,appointment_page,requirements,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__appointment_page__virtual_services,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,appointment_page,virtual_services,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__contact_page__interpreter_available,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,contact_page,interpreter_available,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__contact_page__languages,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,contact_page,languages,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__contact_page__next_step_type,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,contact_page,next_step_type,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__patient_services__accessibility_notes,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,patient_services,accessibility_notes,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__patient_services__home_visits,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,patient_services,home_visits,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__patient_services__transportation_help,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,patient_services,transportation_help,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__patient_services__wheelchair_accessible,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,patient_services,wheelchair_accessible,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check patient services or patient info pages for transportation, accessibility, interpreter, and family-support notes. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__program_overview__application_url,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,program_overview,application_url,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__program_overview__in_person_services,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,program_overview,in_person_services,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-all-childrens-hospital-fl__program_overview__requirements,prov-all-childrens-hospital-fl,Johns Hopkins All Children's Hospital Developmental Medicine,florida,pinellas-fl,https://www.hopkinsallchildrens.org,hopkinsallchildrens.org,program_overview,requirements,queued,,,,,"Seeded review task for Johns Hopkins All Children's Hospital Developmental Medicine. Check the main program page for language, referral, family-support, and intake or eligibility instructions. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__accessibility_page__asl_available,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,accessibility_page,asl_available,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__accessibility_page__interpreter_available,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,accessibility_page,interpreter_available,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__accessibility_page__wheelchair_accessible,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,accessibility_page,wheelchair_accessible,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check official accessibility or interpreter pages for language access, ASL, wheelchair, and patient-access statements that plausibly apply to clinic visits. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__appointment_page__referral_url,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,appointment_page,referral_url,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__appointment_page__requirements,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,appointment_page,requirements,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__appointment_page__virtual_services,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,appointment_page,virtual_services,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check scheduling and referral pages for interpreter requests, telehealth, appointment-required, and referral-required wording. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__contact_page__interpreter_available,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,contact_page,interpreter_available,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__contact_page__languages,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,contact_page,languages,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
prov-acc-review__prov-fau-card-fl__contact_page__next_step_type,prov-fau-card-fl,FAU CARD (Boca Raton),florida,palm-beach-fl,https://www.fau.edu/education/centersandprograms/card/,fau.edu,contact_page,next_step_type,queued,,,,,"Seeded review task for FAU CARD (Boca Raton). Check for explicit languages, multilingual phone lines, interpreter wording, and contact-form language choices. Do not promote without explicit first-party evidence captured in clue text or clue page URL.",
