id,stateId,stateCode,sourceName,sourceUrl,targetTable,gapFamily,serviceTags,sourceFamily,crawlMethod,ledgerStatus,firstPartyMode,expectedExtractionFields,whyNeeded,promotionRule,evidenceUrl
housing-hud-pha-contacts,national,,HUD Public Housing Agency Contact Information,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts,nonprofit_organizations,housing,housing,official_government_housing,static_fetch,ready_lightweight,official_or_authoritative_directory,"agency_name, state, county_or_city, phone, website",Find local public housing agencies and rental-assistance routing for families needing housing help.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.hud.gov/program_offices/public_indian_housing/pha/contacts
housing-hud-resource-locator,national,,HUD Resource Locator,https://resources.hud.gov/,nonprofit_organizations,housing,housing,official_government_housing,playwright,ready_js_heavy,official_or_authoritative_directory,"resource_name, address, phone, website, service_type","Discover housing counseling, affordable housing, and local HUD-connected resources.",Discovery or staging only until extracted rows pass public-safe validation.,https://resources.hud.gov/
goods-at3-state-program-directory,national,,AT3 State Assistive Technology Program Directory,https://at3center.net/state-at-programs,nonprofit_organizations,goods_supplies,supplies|home_mods,authoritative_assistive_technology_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"program_name, state, phone, website, device_loan, reuse, financing","Find state AT programs for equipment loans, reuse, home modifications, and disability supplies.",Discovery or staging only until extracted rows pass public-safe validation.,https://at3center.net/state-at-programs/
jobs-rsa-state-vr-agencies,national,,RSA State Vocational Rehabilitation Agencies,https://rsa.ed.gov/about/states,programs,jobs_vocational,vocational_rehab|transition,official_government_vr,static_fetch,ready_lightweight,official_or_authoritative_directory,"agency_name, state, phone, website, blind_agency_flag","Find state VR agencies for jobs, transition, supported employment, and disability employment routing.",Discovery or staging only until extracted rows pass public-safe validation.,https://rsa.ed.gov/about/states
legal-lsc-get-legal-help,national,,Legal Services Corporation Get Legal Help,https://www.lsc.gov/about-lsc/what-legal-aid/get-legal-help,nonprofit_organizations,legal_aid,legal_aid|appeals,authoritative_legal_aid_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"organization_name, state, counties_served, phone, website","Find civil legal-aid organizations for benefits, housing, education, and family legal support.",Discovery or staging only until extracted rows pass public-safe validation.,https://www.lsc.gov/about-lsc/what-legal-aid/get-legal-help
legal-ndrn-member-agencies,national,,NDRN Protection and Advocacy Member Agencies,https://www.ndrn.org/about/ndrn-member-agencies,iep_advocates,advocates_legal,legal_aid|iep_advocacy|appeals,authoritative_protection_advocacy_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"agency_name, state, phone, website, disability_rights_focus",Replace weak advocate directories with official P&A agencies and disability-rights legal sources.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.ndrn.org/about/ndrn-member-agencies/
legal-parent-center-hub-directory,national,,Parent Center Hub Find Your Parent Center,https://www.parentcenterhub.org/find-your-center,iep_advocates,advocates_legal,iep_advocacy|special_education|appeals,authoritative_parent_center_directory,static_fetch,ready_lightweight,official_or_authoritative_directory,"center_name, state, phone, website, service_area",Add authoritative parent training and information centers as first-party-aligned advocate/legal sources.,Discovery or staging only until extracted rows pass public-safe validation.,https://www.parentcenterhub.org/find-your-center
legal-ed-osep-dispute-resolution,national,,OSEP Dispute Resolution and Due Process Resources,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution,iep_advocates,advocates_legal,special_education|appeals|iep_advocacy,official_special_education_dispute_guidance,static_fetch,ready_lightweight,official_or_authoritative_directory,"resource_name, dispute_type, official_links, agency_contact","Add official dispute-resolution source family for special education complaints, mediation, and due-process help.",Discovery or staging only until extracted rows pass public-safe validation.,https://sites.ed.gov/idea/idea-files/osep-memo-and-qa-on-dispute-resolution/
transport-211-national,national,,211 National Search,https://www.211.org/,nonprofit_organizations,transport_utilities_food,transport|utilities|food|housing,social_services_directory,playwright,discovery_only,third_party_directory,"local_211_operator, service_category, referral_url","Discover local help for transportation, utilities, food, housing, and emergency support.",Use only to discover first-party organization pages or local 211 operator pages before promotion.,https://www.211.org/
providers-hrsa-find-health-center,national,,HRSA Find a Health Center,https://findahealthcenter.hrsa.gov/,resource_providers,providers_care,therapy|behavioral_health|early_intervention,official_provider_directory,playwright,ready_js_heavy,official_or_authoritative_directory,"clinic_name, address, phone, website, services, sliding_fee",Find federally supported clinics that can help fill the care/provider layer.,Discovery or staging only until extracted rows pass public-safe validation.,https://findahealthcenter.hrsa.gov/
